Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28476802,BSB2,491421,AG,CO  ,BSB ,BSB2,E,13/03/2026,21:51,16/03/2026,19:30,TZA5A75,SG ,COMPASS,LONGITUDE TURBO FLEX,Nao,,,,Não,
28476583,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,20:14,16/03/2026,20:00,TXD3D88,SU ,TERA,TSI AT,Nao,,,,Não,
28468660,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,12/03/2026,08:13,16/03/2026,20:00,TXW4G90,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28464727,BSB2,453509,PJ,CO  ,BSB ,BSB2,E,11/03/2026,07:48,16/03/2026,20:30,TEM2H49,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não,
28471944,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,12/03/2026,20:53,16/03/2026,21:00,TDK4J99,SU ,KARDIAN,TECHNO 1.0 4P,Nao,,,,Não,
28477012,BSB2,345676,PARCERIA,CO  ,BSB ,BSB2,E,14/03/2026,01:49,16/03/2026,21:00,TXM5J38,SU ,FIAT PULSE 1.3 DRIVE,P,Nao,,,,Não,
28480374,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,21:45,16/03/2026,21:40,TXK3D77,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28472248,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,05:05,16/03/2026,22:00,FOF4J93,EA ,POLO,COMFORTLINE TSI AT 1,Nao,,,,Não,
28472056,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,12/03/2026,22:29,16/03/2026,22:14,TYO3I82,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
28421012,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,28/02/2026,02:11,17/03/2026,01:00,GBJ6C21,SU ,NIVUS,HIGHLINE 200 TSI AT,Nao,,,,Não,
28478873,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,14/03/2026,11:57,17/03/2026,03:00,FRC9A93,B  ,POLO,MPI 1.0 4P,Nao,,,,Não,
28469749,BSB2,345741,PARCERIA,CO  ,BSB ,BSB2,E,12/03/2026,11:41,17/03/2026,03:30,TXM5J47,SU ,FIAT PULSE 1.3 DRIVE,P,Nao,,,,Não,
28473479,BSB2,492269,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,10:23,17/03/2026,05:45,STA9E67,SU ,NIVUS,HIGHLINE 200 TSI AT,Nao,,,,Não,
28470130,BSB2,488724,OTA,CO  ,BSB ,BSB2,E,12/03/2026,12:58,17/03/2026,06:00,TKO6C23,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28460820,BSB2,368065,PARCERIA,CO  ,BSB ,BSB2,E,10/03/2026,08:33,17/03/2026,06:00,TDX7H59,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28471643,BSB2,345678,OUTROS PF,CO  ,BSB ,BSB2,E,12/03/2026,19:13,17/03/2026,06:30,TCA4E48,B  ,HB20,SENSE PLUS 1.0 4P,Nao,,,,Não,
28460474,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,06:54,17/03/2026,06:48,UAA4I62,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não,
28476829,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,13/03/2026,22:15,17/03/2026,07:30,TES4B65,SV ,T-CROSS,COMFORTLINE 200 TSI,Nao,,,,Não,
28482748,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,08:16,17/03/2026,08:05,TDK5C78,SU ,DUSTER,INTENSE AT SCE 1.6 4,Nao,,,,Não,
28476841,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,22:22,17/03/2026,09:30,TYP4J36,SV ,VOLKSWAGEN T-CROSS 1,P,Nao,,,,Não,
28483653,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,09:57,17/03/2026,10:00,TEN9B93,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não,
28461945,BSB2,444661,AG,CO  ,BSB ,BSB2,E,10/03/2026,11:44,17/03/2026,10:00,TCA4H75,B  ,HB20,SENSE PLUS 1.0 4P,Nao,,,,Não,
