Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28365129,BSB2,375061,MENSAL MAIS,CO  ,BSB ,BSB2,E,02/13/2026,09:47,03/15/2026,10:45,UBA3G93,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não
28365457,BSB2,484094,PJ,CO  ,BSB ,BSB2,E,02/13/2026,10:34,03/15/2026,11:00,TDD3G07,B  ,HB20,COMFORT MT 1.0 4P,Nao,,,,Não
28433838,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,03/03/2026,12:07,03/15/2026,11:00,TDK5C78,SU ,DUSTER,INTENSE AT SCE 1.6 4,Nao,,,,Não
28465809,BSB2,492269,OUTROS PF,CO  ,BSB ,BSB2,E,03/11/2026,11:03,03/15/2026,11:00,GTN6C04,B  ,ONIX,MT 1.0 4P,Nao,,,,Não
28445835,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/06/2026,11:20,03/15/2026,11:30,TYP4J96,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não
28447065,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,03/06/2026,14:41,03/15/2026,11:30,UEN0C71,SV ,VOLKSWAGEN T-CROSS 1,P,Nao,,,,Não
28474011,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,11:53,03/15/2026,11:52,TYQ9J07,SV ,FIAT FASTBACK 1.0 TU,P,Nao,,,,Não
28474182,BSB2,368065,PARCERIA,CO  ,BSB ,BSB2,E,03/13/2026,12:28,03/15/2026,12:00,TEM2I54,BS ,CRONOS,DRIVE 1.0 4P,Nao,,,,Não
28446670,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,03/06/2026,13:28,03/15/2026,12:00,TES4A94,SU ,NIVUS,HIGHLINE 200 TSI AT,Nao,,,,Não
28464239,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/10/2026,20:09,03/15/2026,12:00,UAB8C22,SV ,HYUNDAI CRETA 1.0 T-,P,Nao,,,,Não
